Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
el Baix Guinardó,Barri,Equipament,12.20,12.20,12.20,12.20,12.21,12.21,12.21,12.21,12.13,12.13,12.13,12.13,-
Can Baró,Barri,Residencial,39.10,37.40,37.40,37.40,37.37,37.37,37.37,37.37,37.24,37.24,37.24,37.25,-
Can Baró,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,0.26,0.26,0.26,0.26,0.26,-
Can Baró,Barri,Equipament,8.20,4.40,4.40,4.40,4.37,4.37,4.37,4.37,4.38,4.38,4.38,4.38,-
el Guinardó,Barri,Residencial,39.90,40,40,40,39.98,39.98,39.86,39.86,39.76,39.76,39.75,39.75,-
el Guinardó,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,-
el Guinardó,Barri,Equipament,16.50,16.50,16.50,16.50,16.49,16.48,16.61,16.61,16.62,16.62,16.62,16.62,-
la Font d'en Fargues,Barri,Residencial,56.30,60.10,60.10,60.10,60.08,60.08,60.08,59.99,58.98,58.98,58.98,58.98,-
la Font d'en Fargues,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Font d'en Fargues,Barri,Equipament,10.20,10.80,10.80,10.80,10.78,10.78,10.78,10.78,10.77,10.77,10.77,10.77,-
el Carmel,Barri,Residencial,40.40,41.50,58.80,41.50,41.88,41.88,41.88,41.80,41.97,41.97,41.97,41.96,-
el Carmel,Barri,Industrial i infraestructures,0.70,0.10,0.10,0.10,0.06,0.06,0.06,-,-,-,-,-,-
el Carmel,Barri,Equipament,6.10,7.30,7.30,7.30,7.27,7.27,7.27,7.33,7.41,7.41,7.41,7.41,-
la Teixonera,Barri,Residencial,55,55.90,55.90,55.90,55.89,55.89,55.90,54.71,49.98,49.98,49.98,49.98,-
la Teixonera,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Teixonera,Barri,Equipament,5,5.20,5.20,5.20,5.18,5.18,5.18,5.60,5.57,5.57,5.57,5.57,-
Sant Genís dels Agudells,Barri,Residencial,10.50,10.50,10.50,10.50,10.54,10.54,10.54,10.54,10.53,10.03,10.03,10.03,-
Sant Genís dels Agudells,Barri,Industrial i infraestructures,-,-,-,-,0.00,0.00,0.00,0.00,-,-,-,-,-
Sant Genís dels Agudells,Barri,Equipament,7.30,7.30,7.30,7.30,7.27,7.27,7.27,7.27,7.27,7.43,7.43,7.43,-
Montbau,Barri,Residencial,5.70,5.70,5.70,5.70,5.70,5.70,5.60,5.56,5.53,5.53,5.53,5.53,-
Montbau,Barri,Industrial i infraestructures,0.60,0.60,0.60,0.60,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,-
Montbau,Barri,Equipament,16.90,16.90,16.90,16.90,16.89,16.89,16.79,16.76,16.69,16.69,16.69,16.69,-
la Vall d'Hebron,Barri,Residencial,11.10,11.10,11.10,11.10,11.07,11.07,10.56,10.85,9.72,9.72,9.72,9.72,-
la Vall d'Hebron,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Vall d'Hebron,Barri,Equipament,31.50,31.50,31.50,31.50,31.46,31.46,31.44,31.15,31.92,31.92,31.94,31.94,-
la Clota,Barri,Residencial,34.30,34.30,34.30,34.30,34.34,34.34,34.34,34.34,33.99,33.99,33.99,33.99,-
la Clota,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Clota,Barri,Equipament,5.50,5.50,5.50,5.50,5.54,5.54,5.54,5.54,5.56,5.56,5.56,5.56,-
Horta,Barri,Residencial,20.50,20.60,20.60,20.60,20.55,20.56,20.56,20.56,20.59,20.57,20.57,20.57,-
Horta,Barri,Industrial i infraestructures,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.49,0.51,0.51,0.51,0.51,-
Horta,Barri,Equipament,8.90,8.90,8.90,8.90,8.93,8.93,8.93,8.93,8.98,9.21,9.21,9.21,-
Nou Barris,Districte,Residencial,29.03,29.03,29.03,28.83,29.02,29.26,28.93,28.94,28.92,28.91,28.91,28.91,28.63
Nou Barris,Districte,Industrial i infraestructures,2.42,2.42,2.42,3.11,2.42,2.36,2.36,2.35,2.33,2.33,2.33,2.33,1.53
Nou Barris,Districte,Equipament,10.12,10.12,10.12,10.04,10.12,10.08,10.07,10.07,10.05,10.06,10.06,10.05,7.93
Vilapicina i la Torre Llobeta,Barri,Residencial,51.40,51.40,51.40,51.10,51.13,51.13,51.13,51.87,51.99,51.99,51.99,51.99,-
Vilapicina i la Torre Llobeta,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Vilapicina i la Torre Llobeta,Barri,Equipament,6.30,6.30,6.30,6.30,6.31,6.31,6.31,6.31,6.33,6.33,6.33,6.33,-
Porta,Barri,Residencial,41.40,41.40,41.40,41.40,41.37,41.83,41.81,41.86,42.68,42.68,42.68,42.68,-
Porta,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
