ELEMENT,DISTRICTE,BARRI,CODI_BARRI,ANY_ALTA,MES_ALTA_NOM,RECOMPTE,POBLACIO_HOMES,POBLACIO_DONES,POBLACIO_TOTAL,SUPERFICIE_TERRITORI,SUPERFICIE_RESIDENCIAL,TEMPERATURA,PRECIPITACIONS
Lavabo públic,Sants-Montjuïc,Sants,18,2023,Agost,2,21409,23099,44508,109.5,59.382,26.0,44.6
Lavabo públic,Sants-Montjuïc,Sants,18,2023,Març,2,21409,23099,44508,109.5,59.382,14.1,1.0
Lavabo públic,Sants-Montjuïc,Sants,18,2023,Setembre,1,21409,23099,44508,109.5,59.382,23.2,50.4
Lavabo públic,Sants-Montjuïc,Sants,18,2024,Agost,5,22840,24223,47063,109.5,59.382,26.9,17.6
Lavabo públic,Sants-Montjuïc,Sants,18,2024,Desembre,1,22840,24223,47063,109.5,59.382,10.4,38.4
Lavabo públic,Sants-Montjuïc,Sants,18,2024,Febrer,1,22840,24223,47063,109.5,59.382,13.4,27.8
Lavabo públic,Sants-Montjuïc,Sants,18,2024,Setembre,2,22840,24223,47063,109.5,59.382,20.8,70.7
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2023,Abril,1,19129,19649,38778,458.5,38.147,16.1,36.0
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2023,Maig,4,19129,19649,38778,458.5,38.147,18.1,46.5
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2023,Octubre,1,19129,19649,38778,458.5,38.147,20.2,29.2
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Abril,1,19275,19902,39177,458.5,38.147,15.0,94.5
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Agost,4,19275,19902,39177,458.5,38.147,26.9,17.6
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Juliol,6,19275,19902,39177,458.5,38.147,25.8,33.4
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Juny,4,19275,19902,39177,458.5,38.147,21.3,74.7
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Maig,1,19275,19902,39177,458.5,38.147,18.2,29.6
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Novembre,1,19275,19902,39177,458.5,38.147,14.8,54.3
Lavabo públic,Sants-Montjuïc,el Poble-sec,11,2024,Setembre,1,19275,19902,39177,458.5,38.147,20.8,70.7
Lavabo públic,Sants-Montjuïc,la Bordeta,16,2023,Agost,2,9361,10367,19728,57.2,20.775,26.0,44.6
Lavabo públic,Sants-Montjuïc,la Bordeta,16,2023,Setembre,3,9361,10367,19728,57.2,20.775,23.2,50.4
Lavabo públic,Sants-Montjuïc,la Bordeta,16,2024,Juny,1,9652,10740,20392,57.2,20.775,21.3,74.7
Lavabo públic,Sants-Montjuïc,la Font de la Guatlla,14,2024,Agost,1,5260,5439,10699,29.7,11.541,26.9,17.6
Lavabo públic,Sants-Montjuïc,la Marina de Port,13,2023,Març,1,14592,15845,30437,126.9,38.958,14.1,1.0
Lavabo públic,Sants-Montjuïc,la Marina de Port,13,2023,Novembre,1,14592,15845,30437,126.9,38.958,14.8,3.7
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2023,Juny,1,11534,13324,24858,304.7,95.432,23.4,39.8
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2023,Maig,1,11534,13324,24858,304.7,95.432,18.1,46.5
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2023,Octubre,1,11534,13324,24858,304.7,95.432,20.2,29.2
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2023,Setembre,1,11534,13324,24858,304.7,95.432,23.2,50.4
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2024,Abril,3,11673,13440,25113,304.7,95.432,15.0,94.5
Lavabo públic,Sarrià-Sant Gervasi,Sarrià,23,2024,Febrer,3,11673,13440,25113,304.7,95.432,13.4,27.8
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Abril,96,10868,11173,22041,111.0,32.401,16.1,36.0
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Agost,170,10868,11173,22041,111.0,32.401,26.0,44.6
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Desembre,125,10868,11173,22041,111.0,32.401,12.1,2.7
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Febrer,52,10868,11173,22041,111.0,32.401,10.3,40.7
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Gener,58,10868,11173,22041,111.0,32.401,9.2,8.7
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Juliol,166,10868,11173,22041,111.0,32.401,25.5,6.2
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Juny,161,10868,11173,22041,111.0,32.401,23.4,39.8
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Maig,72,10868,11173,22041,111.0,32.401,18.1,46.5
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Març,68,10868,11173,22041,111.0,32.401,14.1,1.0
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Novembre,99,10868,11173,22041,111.0,32.401,14.8,3.7
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Octubre,161,10868,11173,22041,111.0,32.401,20.2,29.2
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Setembre,153,10868,11173,22041,111.0,32.401,23.2,50.4
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Abril,117,11105,11368,22473,111.0,32.401,15.0,94.5
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Agost,182,11105,11368,22473,111.0,32.401,26.9,17.6
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Desembre,79,11105,11368,22473,111.0,32.401,10.4,38.4
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Febrer,105,11105,11368,22473,111.0,32.401,13.4,27.8
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Gener,118,11105,11368,22473,111.0,32.401,11.1,26.8
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Juliol,220,11105,11368,22473,111.0,32.401,25.8,33.4
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Juny,205,11105,11368,22473,111.0,32.401,21.3,74.7
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Maig,143,11105,11368,22473,111.0,32.401,18.2,29.6
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Març,168,11105,11368,22473,111.0,32.401,13.1,87.9
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Novembre,86,11105,11368,22473,111.0,32.401,14.8,54.3
Neteja carrers i/o places,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Octubre,150,11105,11368,22473,111.0,32.401,18.2,118.5
